les le
sinon altrimenti
contributeur collaboratore
sélections selezioni
apprend impara
refuse rifiuta
cabinet gabinetto
saône saona
demeure dimora
animal animale
présents presenti
policier poliziotto
précise precisa
secondaires secondari
chacune ognuna
chacune ciascuna
nationaux nazionali
pêche pescare
étudie studia
souhaite augura
rois re
déposé depositato
organise organizza
industriel industriale
rester rimanere
définitivement definitivamente
basée basata
mène conduce
noirs neri
revenir ritornare
décors scenografia
quotidien quotidiano
auto auto
poule gallina
portent indossano
bulletin bollettino
vérité verità
manga manga
franchise franchigia
expositions mostre
crime delitto
raconte racconta
vendredi venerdì
juive ebraica
dirigeant dirigente
chronologie cronologia
notoriété notorietà
plate piana
municipalités municipalità
cordes corde
machines macchine
tenir tenere
costumes costumi
actuels attuali
destinée destino
mises puntate
publiés pubblicati
effectué effettuato
élevée elevata
battu battuto
start start
secours soccorso
répond risponde
caractérisée caratterizzata
surnom soprannome
deviendra diventerà
différent differente
récompenses riconoscimenti
lundi lunedì
monts monti
deviennent diventano
partout ovunque
engagé impegnato
soirée serata
belles belle
maires sindaci
traversée traversata
maîtrise padronanza
réédition riedizione
simples semplici
plaque placca
plaque piastra
quai banchina
souvenir ricordo
são são
localités località
établie stabilita
parallèlement parallelamente
scrutin scrutinio
tués uccisi
stadium stadium
ouvriers operai
pseudonyme pseudonimo
dédiée dedicata
choisit sceglie
rédacteur redattore
couvre copre
tramway tram
marco marco
espagnols spagnoli
montrer mostrare
lacs laghi
séjour soggiorno
installations installazioni
versant versante
triple triplo
démographique demografico
synthèse sintesi
différente differente
différente diversa
championship championship
mourut morì
musiques musiche
pedro pedro
intérieure interiore
academy academy
retrouvé ritrovato
master master
mathématicien matematico
réalisés realizzati
communal comunale
cesse cessa
exercice esercitazione
reçut ricevette
fermeture chiusura
poursuivre perseguire
poursuivre proseguire
assassinat assassinio
belges belgi
paulo paulo
présentes presenti
matches partite
courts corti
métiers mestieri
quarts quarti
tenter tentare
soutient sostiene
tunnel tunnel
psychologie psicologi
diplômé laureato
examen recensione
recours ricorsi
expériences esperienze
signal segnale
commença cominciò
ter ter
dôme duomo
signifiant significante
admis ammessi
contribue contribuisce
soutenir sostenere
légère leggera
miguel miguel
mar mar
formée formata
chaussée carreggiata
retrouvent ritrovano
beauté bellezza
rencontrent incontrano
développée sviluppata
supplémentaire supplementare
retire ritira
occident occidente
certainement sicuramente
management management
consulter consultare
fermée chiusa
sec asciutto
mené condotto
courants correnti
sportifs sportivi
réserves riserve
maría maría
consul console
relégué relegato
remettre rimettere
concile concilio
sols pavimenti
passages passaggi
centaine centinaio
habituellement solitamente
allait andava
épousa sposò
magasin negozio
considérer considerare
graveur masterizzatore
contemporains contemporanei
battant battente
feuille foglia
contraint costretto
case casella
lucas lucas
humour umorismo
évaluer valutare
enregistre registra
terminus capolinea
ressemble assomiglia
préparer preparare
accepté accettato
mondiaux mondiali
caisse cassa
ballon pallone
applique applica
assurance assicurazione
espère spera
littoral litorale
janeiro janeiro
boxe inscatolamento
pair pari
jeudi giovedì
livret libretto
rencontrer incontrare
étang stagno
attente attesa
destin destino
autrichienne austriaca
passa passò
contrôler controllare
armement armamenti
écurie scuderia
coureurs corridori
rencontré incontrato
tribune tribuna
pau pau
opposant opponente
salvador salvador
créant creando
algérien algerino
mardi martedì
infrastructures infrastrutture
exploration esplorazione
journées giornate
collaborateur collaboratore
passée passata
chants canti
gratte gratta
thermique termica
finir finire
mercredi mercoledì
dépit dispetto
obtint ottenne
corriger correggere
cruz cruz
patricia patricia
naval naval
león león
digital digital
rassemblement raduno
registre registro
préciser precisare
mentionne menziona
avancée avanzata
actuelles attuali
sélectionneur selezionatore
dut dovette
émis emesso
rénovation rinnovamento
rafael rafael
collective collettiva
firent fecero
bâton bastone
cartons cartoni
raphaël raffaello
army army
remportant vincendo
vend vende
tunisien tunisino
rapides rapidi
culminant culminante
approximativement approssimativamente
nœuds nodi
adopte adotta
permit permise
contacter contattare
évoluer evolversi
jorge jorge
bombe bomba
enquêtes indagini
obligé obbligato
immatriculation immatricolazione
terminer terminare
aviron canottaggio
timbre francobollo
baptisé battezzato
secrète segreta
polémique polemica
bleus azzurri
creuse scava
retenu trattenuto
navigateur navigatore
éliminer eliminare
fonctionnaires funzionari
permettait permetteva
directrice direttrice
ref ref
alternatif alternativo
trentaine trentina
chargés caricati
effectifs effettivi
height height
engagée impegnata
guyane guiana
rappeler richiamare
fayard farinella
accède accede
revers rovescio
bébé bambina
remonter risalire
échoue fallisce
tmax tmax
harmattan harmattan
visiter visitare
venger vendicare
manufacture manifattura
renouveau rinnovamento
mas mas
cinquantaine cinquantina
employée impiegata
rat ratto
bretons bretoni
passionné appassionato
épouser sposare
décorée decorata
romance romanticismo
fresque affresco
onzième undicesimo
fontaines fontane
aides aiuti
figurer figurare
américa américa
accompagnement accompagnamento
élévation elevazione
quantique quantistica
régis disciplinati
croisés crociati
pentes pendii
décorations decorazioni
helena helena
bœuf manzo
commençant cominciando
casque cuffie
relié collegato
complémentaire complementare
pairs pari
falaise scogliera
cloître chiostro
infrastructure infrastruttura
modernisation modernizzazione
continua continuò
marocaine marocchina
vécut visse
donnera darà
partagée condivisa
succédé succeduti
préhistoire preistoria
reproche rimprovero
sergueï sergej
chroniqueur cronista
cendres cenere
mademoiselle signorina
autrichiens austriaci
déportation deportazione
couper taglia
déclara dichiarò
imposé imposto
linear linear
anglophones anglofoni
prendra prenderà
majuscule maiuscolo
fabriquer fabbricare
négative negativa
manteau cappotto
retrouvée ritrovata
prolongée prolungata
incluse inclusa
végétaux vegetali
politicien politico
contrôlée controllata
exploiter sfruttare
auxiliaire ausiliario
travailla lavorò
constitués costituiti
proie preda
intime intimo
socorro socorro
transférée trasferita
rappelé richiamato
confier affidare
arrêtée arrestata
meeting meeting
surnommée soprannominata
facultés facoltà
riga riga
déposée depositata
list list
honoraire onorario
assemblage assemblaggio
revint tornò
arrivés arrivati
adhère aderisce
commanderie commenda
incertaine incerta
arriva arrivò
joão joão
profondes profonde
grain grinta
fondent fondano
tourelle torretta
dépose deposita
featuring featuring
rochers scogli
reproduire riprodurre
insurgés insorti
sedan sedan
détaillés dettagliati
encyclopedia encyclopedia
entretiens colloqui
nikolaï nikolaj
obus granata
défilé sfilata
célébrer celebrare
yougoslave iugoslava
pivot perno
livrée consegnata
obtenant ottenendo
réussir riuscire
incarné incarnato
sceaux sigilli
préparé preparato
disputent contendono
refusa rifiutò
flamme fiamma
tramways tram
nourrir nutrire
pacha pascià
descartes descartes
comparé confrontato
miel miele
bagdad bagdad
remontant risalenti
édifié edificato
désignés designati
centrée centrata
philosophiques filosofiche
normande normanna
para para
saturn saturn
fossés fossati
bilbao bilbao
mixtes misti
stèle stele
lépidoptère lepidoptera
treizième tredicesimo
tampa tampa
empreinte impronta
coffret cofanetto
directoire direttorio
châlons châlons
expertise perizia
ecclésiastiques ecclesiastici
mikhaïl michail
fiables affidabili
vicente vicente
marquées marcate
généraliste gp
cargo cargo
commando commando
merlin merlin
cuirassé corazzata
édifiée edificata
nette netta
appartenu appartenuto
périodicité periodicità
vittorio vittorio
camping campeggio
suivit seguì
espérant sperando
pensait pensava
effective effettiva
stéphanie stefania
élie elia
exécutés giustiziati
exécutés eseguiti
lexique lessico
satisfaire soddisfare
portés indossati
rejette respinge
paz paz
sandy sandy
animatrice animatrice
concentrer concentrare
latins latini
amor amor
collectivité collettività
combustible combustibile
coco coco
vesoul vesoul
dotation dotazione
famine carestia
élites élite
élémentaires elementari
araneae araneae
lucratif lucrativo
catcheur wrestler
exploit exploit
theory theory
kepler kepler
repère segnaposto
hérite eredita
mêlée mischia
horace orazio
caisses casse
opposée opposta
théâtrale teatrale
comédies commedie
incidents incidenti
droitier destro
périphérique periferica
chilien cileno
algériens algerini
multitude moltitudine
ermitage eremo
opérationnel operativo
crainte timore
limitrophe limitrofo
météo meteo
souhaitait desiderava
where where
mères madri
médicament farmaco
dolmen dolmen
brien brien
imprimeur stampatore
chapiteau tendone
pieux paletti
potable potabile
quotidiens quotidiani
brisé spezzato
constaté constatato
luttes lotte
thermes terme
cuite cotta
minas minas
khl khl
bêtes bestie
frapper colpire
équitation equitazione
disc disc
tardif tardivo
préhistorique preistorico
contrôlé controllato
amas ammasso
user user
vectoriel vettoriale
tige gambo
facto facto
fragment frammento
australiens australiani
apports apporti
sarre saar
rouleau rotolo
relégués relegati
réveil sveglia
panaméricains panamericani
réfléchir riflettere
fictif fittizio
commencèrent cominciarono
antérieur anteriore
cépage vitigno
gisements giacimenti
amendement emendamento
annulée annullata
estimant ritenendo
développements sviluppi
proposa propose
tenta tentò
tree tree
déploiement schieramento
pitié pietà
fabriqués fabbricati
clavecin clavicembalo
escaut escaut
nouméa nouméa
répondant rispondente
abondante abbondante
exploite sfrutta
transférer trasferire
critérium critérium
affection affetto
auch auch
soutiennent sostengono
naquit nacque
repart riparte
sentiers sentieri
renforcé rafforzato
bonn bonn
logos loghi
parvenu pervenuto
study study
parcourir sfoglia
lubusz lebus
catarina catarina
percussion percussione
payot payot
chaussées carreggiate
historical historical
onglet scheda
médiathèque mediateca
escale scalo
tertiaire terziario
effigie effigie
développa sviluppò
bordé fasciame
glaciaire glaciale
dessiner disegnare
soliste solista
range range
alma alma
rédacteurs redattori
devinrent divennero
fondement fondamento
japanese japanese
xie xi
havane avana
veiller vegliare
dirigea diresse
succèdent susseguono
nomma nominò
publicités inserzioni
soirées serate
rameau ramoscello
éliminés eliminati
cépages vitigni
réfugie rifugia
géologiques geologiche
repousser respingere
respectifs rispettivi
énormes enormi
querelle faida
éleveurs allevatori
isabel isabel
évoquent evocano
cuisson cottura
quatorzième quattordicesimo
corniche corniche
rebaptisée ribattezzata
found found
effacer cancella
perçu percepita
sire sire
cases caselle
problématiques problematiche
drama drama
interviennent intervengono
rwk rwk
jeté buttato
jeté gettato
renouvelée rinnovata
syrienne siriana
quinzième quindicesimo
rails rotaie
flic poliziotto
castor castor
étranges strani
totalise totalizza
consonne consonante
mel mel
accumulation accumulazione
por por
précisions precisazioni
tram tram
altitudes altitudini
phylogénétique filogenetico
dmitri dmitrij
polémiques polemiche
sûrs sicuri
voyait vedeva
cuirassés corazzate
volontiers volentieri
subissent subiscono
monteur montatore
enchaîne incatena
lutteur lottatore
devront dovranno
démissionner dimettersi
consoles console
gouvernorat governatorato
armorial armoriale
jouera giocherà
tranquille tranquillo
tranquille tranquilla
passera passerà
mixage mixer
genevois genevois
chassé cacciato
vaillant valoroso
dénoncer denunciare
échangeur scambiatore
méridional meridionale
amplitude ampiezza
échappé sfuggito
maîtriser padroneggiare
bienheureux beato
fermées chiuse
tourelles torrette
présenta presentò
fermés chiusi
évacuer evacuare
romanes romanze
ordonna ordinò
inaugure inaugura
distingué distinto
prado prado
voiles vele
dominicain domenicano
parcelles parcelle
rameur vogatore
hélas ahimè
investit investe
linnaeus linnaeus
compté contato
expérimentation sperimentazione
collaborations collaborazioni
sega sega
leyde leida
agatha agatha
forcés forzati
quotidiennement giornalmente
sages saggi
repères segnaposto
portaient indossavano
hospice ospizio
lança lanciò
plantation piantagione
hippodrome ippodromo
bulgares bulgari
compilations compilation
picture picture
herpétologiste erpetologo
ireland ireland
scénaristes sceneggiatori
mantes mantes
laurier alloro
semblant sembiante
amiga amiga
sexes sessi
érudit studioso
consuls consoli
arêtes spigoli
motivations motivazioni
intimes intimo
barcelona barcelona
fourrure pelliccia
estimer stimare
restants restanti
macédonien macedone
annonçant annunciando
symétrique simmetrico
desservies servite
sacristie sacrestia
préfets prefetti
cordillère cordigliera
invente inventa
satirique satirico
promoteur promotore
célébrée celebrata
viticole viticola
fier fiero
lightning lightning
dévoile svela
libertadores libertadores
este este
espérer sperare
neue neue
diplômée laureata
scotland scotland
latines latine
sécheresse siccità
habituelle solita
persuadé persuaso
soudain improvvisamente
conduits condotti
gerais gerais
göttingen gottinga
venues venute
bourdon calabrone
renversé rovesciato
indigène indigeno
identifiée identificata
refait rifatto
mesa mesa
saurait saprebbe
retirés ritirati
manqué mancato
bombay bombay
silhouette silhouette
marcello marcello
énigme rompicapo
fès fez
contenter accontentare
andrée andrée
rocheuses rocciose
verser versare
proies preda
novo novo
pulmonaire polmonare
cio cio
filiation filiazione
côme como
jui jui
génère genera
sûre sicura
provoqua provocò
échiquier scacchiera
éventail ventaglio
contribua contribuì
opposa oppose
joly joly
enfermé rinchiuso
publient pubblicano
nautiques nautici
vila vila
renverser rovesciare
écorce corteccia
sénéchal siniscalco
ramos ramos
directes dirette
bugs bugs
seizième sedicesimo
renvoi rinvio
faust faust
faciles facili
dar dar
retira ritirò
agrandie ingrandita
émigré emigrato
restreinte ristretta
bolívar bolívar
geschichte geschichte
luz luz
raconter raccontare
patineur pattinatore
atteste attesta
ressemblent assomigliano
médian mediano
désireux desiderosi
purent poterono
arbitraire arbitraria
attributions attribuzioni
malaise malessere
exploits exploit
jumelée gemellata
mil mil
référentiel repository
marocains marocchini
dancing dancing
linéaires lineari
third third
mécène mecenate
congé congedo
repousse ricrescita
brave brave
pornographique pornografico
sao sao
appréciation apprezzamento
elitserien elitserien
libraire libraio
gagna vinse
obscur oscuro
gendarmes gendarmi
retrouva ritrovò
projeté proiettato
familier familiare
poursuivit continuò
appréciée apprezzata
hernández hernández
motor motor
rémunération retribuzione
rémunération remunerazione
impériaux imperiali
zoologique zoologico
dissout scioglie
décidèrent decisero
loïc loïc
arsène arsène
soutenus sostenuti
soixantaine sessantina
préfectoral prefettizio
camerounais camerunese
persécutions persecuzione
agroalimentaire agroalimentare
célibataire celibe
teinte tinta
convois convogli
rangée fila
répéter ripetere
voirie interramento
apposé apposto
seigneuries signorie
artisanale artigianale
portraitiste ritrattista
remplie riempita
secrétaires segretarie
dénoncé denunciato
ascendance ascendenza
influencée influenzata
extraliga extraliga
emparent impadroniscono
menhir menhir
prévôt prevosto
gravée incisa
diabolique diabolico
figurines figurine
dés dadi
commandos commando
duras duras
enfers inferi
nuances sfumature
cobra cobra
assumer assumersi
pillage saccheggio
cérébrale cerebrale
#default #default
vitré vitré
pléiade pleiade
détournement dirottamento
rente rendita
rente rendite
polar polar
worms worms
romantisme romanticismo
nombreuse numerosa
contraints costretti
admise ammessa
centrafricaine centrafricana
plane piana
célestins celestini
nappe tovaglia
diables diavoli
marseillais marsigliesi
aventurier avventuriero
chinese chinese
martino martino
lésions lesioni
oubliés dimenticati
épave relitto
encadré riquadro
ist ist
clin batter
coproduction coproduzione
reviendra tornerà
rfa rfg
skieuse sciatrice
matador matador
tuée uccisa
aurélien aurélien
commanditaire garante
méta meta
demeures dimore
procurer procurare
repêché ripescato
search search
tonneaux botti
renferme racchiude
persécution persecuzione
délivre rilascia
avancés avanzati
exclure escludere
recording recording
ascq ascq
caporal caporale
excessive eccessiva
alcoolique alcolista
clémence clemenza
lourdement pesantemente
évangiles vangeli
morlaix morlaix
flores flores
soulève solleva
raté mancato
grenelle grenelle
vassili vasilij
fonts fonts
savante sapiente
favorisé favorito
abstrait astratto
cortex corteccia
sépultures sepolture
cubes cubi
chassés cacciati
panoramique panoramica
tumulus tumulo
percer forare
boca boca
trophy trophy
précaution precauzione
committee committee
voulut volle
abat abbatte
orages temporali
volcaniques vulcaniche
tarif tariffa
produisit produsse
divergences divergenze
garou mannaro
acadiens acadiani
orbitale orbitale
maleeva maleeva
vida vida
approximation approssimazione
réformé riformato
tunisiens tunisini
étain stagno
alpinisme alpinismo
lignage lignaggio
persiste persiste
bou bou
engrais fertilizzanti
patois patois
protections protezioni
émigre emigra
distribuer distribuire
majuscules maiuscolo
effacé cancellato
combine combina
bengale bengala
préhistoriques preistorici
météorologie meteorologia
repli ripiego
haïtien haitiano
garantit garantisce
perçue percepita
intrigues intrighi
maps maps
verso retro
hivernale invernale
solar solar
filières filiere
empreintes impronte
protester protestare
funèbre funebre
fables favole
demandait chiedeva
mettra metterà
électro elettro
résidus residui
musulmanes musulmane
entraîna determinò
poster poster
cal cal
psychanalyste psicoanalista
contestations contestazioni
dessinateurs disegnatori
mesurée misurata
contradictoires contraddittorie
déménagement trasloco
imposante imponente
engineering engineering
pavé tastierino
assassinée uccisa
analysis analysis
honore onora
parolier paroliere
offrit offrì
ornithologique ornitologico
tint tenne
cartulaire cartulario
marqua segnò
parisiennes parigine
tonalité tono
concrètement concretamente
nettoyer pulire
lagune laguna
ballets balletti
scandinaves scandinavi
déplacent spostano
pakistanais pakistano
holiday holiday
passionnés appassionati
promenades passeggiate
néron nerone
enceintes diffusori
cévennes cévennes
permettaient permettevano
losc losc
reliait collegava
goûts gusti
sympathique simpatico
partagés condivisi
perçoit percepisce
hist hist
coraux coralli
récompenser premiare
footballeurs calciatori
prévisions previsioni
combler colmare
représentative rappresentativa
anzin anzin
malien maliano
avertir avvertire
linyphiidae linyphiidae
maçons muratori
universe universe
dominicains dominicani
atteignit raggiunse
indemnité indennità
mazarin mazarin
réussie riuscita
flottille flottiglia
sorciers stregoni
consultable consultabile
annonça annunciò
comedy comedy
mascotte mascotte
verrerie vetreria
acquit acquistò
antisémite antisemita
appropriée appropriata
interstate interstate
enseigna insegnò
radars autovelox
montra mostrò
renommés rinomati
rééditions riedizioni
étendard stendardo
détache stacca
nègre negro
présentatrice conduttrice
visait mirava
help help
terror terror
advanced advanced
contacté contattato
volumique volumico
respiration respirazione
laguna laguna
cessa cessò
dirait direbbe
fontana fontana
identifiées taggate
interrogé interrogato
rookie rookie
noyer annegare
noyer noce
tablette tavoletta
remplis riempiti
campos campos
exerça esercitò
taxons taxa
bœufs buoi
maud maud
athénée ateneo
ignorer ignora
replier ripiegare
étudiantes studentesse
virgile virgilio
acheta acquistò
financée finanziata
parut parve
exécutive executive
éloignement lontananza
executive executive
bride flangia
interrogation interrogazione
antónio antónio
doublée raddoppiata
percevoir percepire
amar amar
twee twee
doublement raddoppio
édifier edificare
acquisitions acquisizioni
circulant circolante
rénovée rinnovata
tapisserie tappezzeria
javelot giavellotto
monture montatura
émeute sommossa
classant classificando
dérives derive
qualifiant qualificante
remarie risposa
scie sega
medieval medieval
gravés incisi
trompé ingannato
paternelle paterna
surprenant sorprendente
euroligue eurolega
dures dure
norte norte
altération alterazione
versets versetti
accueillis accolti
dirigeait dirigeva
export export
mangas manga
prudent prudente
équitable equa
bascule dondolo
meta meta
gibier selvaggina
remercier ringraziare
bourgs borghi
durera durerà
abattus abbattuti
loué affittato
publishers publishers
occitane occitane
plaint lamentato
camargue camargue
garnisons guarnigioni
écrira scriverà
attendait aspettava
chèvres capre
éclatement scoppio
pantin burattino
ethnologue etnologo
coulée colata
bérenger berengario
exercée esercitata
regagner riguadagnare
fauve fulvo
fusiliers fucilieri
baltes baltici
fable favola
grimpeur scalatore
doubler raddoppio
renversement ribaltamento
apposer apporre
amazone amazzone
telenovela telenovela
federal federal
caravane carovana
abandonnées abbandonate
groningue groninga
germany germany
salomé salomè
fureur furore
escape escape
oubliez dimenticate
colli colli
bruits rumori
cadastre catasto
vinrent vennero
poitevin poitevin
hokkaidō hokkaidō
littératures letterature
installèrent trasferirono
bosse gobba
farm farm
chile chile
attaquants attaccanti
hydrographique idrografico
localiser localizzare
pénurie penuria
cinéastes registi
assauts assalti
gisèle gisèle
revendiqué rivendicato
tomás tomás
optimale ottimale
futebol futebol
erronée errata
virent videro
rockets rockets
mask mask
débouché sbocco
caverne caverna
différé differito
insulaire insulare
confia affidò
mayor mayor
mathématiciens matematici
galères galere
hingis hingis
patrouilles pattuglie
instaure instaura
rejeter respingere
dring drin
chartreux certosino
nefs navate
colo colo
cuire cuocere
celtiques celtici
zoology zoology
frankfurt frankfurt
rétablie ripristinata
bruyères bruyères
automate automa
provenir provenire
sétif sétif
hurricanes hurricanes
boulangerie panificio
ixe ix
nostalgie nostalgia
révéla rivelò
caesar caesar
bourbons borbone
révoltés ammutinati
unanime unanime
génériques generici
messagerie messaggistica
combinée combinata
arrestations arresti
chess chess
immersion immersione
agora agora
harbour harbour
gravées incise
acre acre
hec hec
gueldre gheldria
ériger erigere
implanter impiantare
pseudonymes pseudonimi
félicitations congratulazioni
félicitations complimenti
guichet sportello
trolleybus filobus
extended extended
enquêteurs investigatori
manège maneggio
dénonçant denunciando
coauteur coautore
portal portal
emprisonnés imprigionati
confortable comodo
joints giunti
reçurent ricevettero
pieve pieve
chroniqueurs cronisti
creil creil
brûlés bruciati
óscar óscar
kiosque chiosco
hamburg hamburg
locus locus
profane profano
didactique didattica
brillance brillantezza
vendit vendette
alegre alegre
spectaculaires spettacolari
croiser incrociare
transilien transilien
aristocratique aristocratica
coléoptères coleotteri
came camma
weekend weekend
paume palmo
rosé rosato
cordeliers cordeliers
topographiques topografiche
oliviers ulivi
abondant abbondante
mares mares
donjons segrete
denain denain
habitués abituati
segunda segunda
tuées uccise
gama gama
cochons porci
miliciens miliziani
sim sim
signalés segnalati
supra supra
deviendront diverranno
deviendront diventeranno
gabarit sagoma
colorés colorati
commanda comandò
plongeon tuffi
vendanges vendemmia
garenne garenne
châtiment castigo
concordat concordato
tomé tomé
régné regnato
fronde fionda
mirror mirror
jetant gettando
coqs cazzi
porteuse portante
narrative narrativa
nets netti
hectolitres ettolitri
hectolitres hl
lointaine lontana
transcrit trascritto
oda oda
saverne saverne
négocie negozia
agenais agenais
afflux afflusso
politics politics
internacional internacional
soudainement improvvisamente
restaurations restauri
détracteurs detrattori
théâtral teatrale
décorées decorate
fuse fuse
combattit combatté
docteurs dottori
nervures nervature
surplus surplus
évoqués evocati
sollicite sollecita
réformer riformare
interné internato
lviv leopoli
mongole mongola
abandonna abbandonò
armada armada
déployés profusi
luís luís
indirect indiretto
sauvée salvata
pâtes pasta
commémore commemora
murale murale
prélèvement prelievo
enchaîné incatenato
cuirassiers corazzieri
contrôlés controllati
inattendue inaspettata
inattendue inatteso
poussières polveri
réfection rifacimento
douteuse dubbia
popular popular
oav uav
flers flers
remettent rimettono
naturalistes naturalistiche
déménager trasferirsi
notez notate
anecdotique aneddotico
cabale congrega
quadruple quadrupla
horlogerie orologeria
inspira ispirò
accroche aggrappa
souscription sottoscrizione
récifs scogli
ressembler assomigliare
tal tal
director director
israélite israelita
versement versamento
voiliers velieri
violations violazioni
psv fsv
rayé graffiato
infantry infantry
rectiligne rettilineo
compléments complementi
compléments integratori
australiennes australiane
fourrures pellicce
wedding wedding
vérités verità
antisémites antisemiti
lettrés letterati
internationalement internazionalmente
sacrifier sacrificare
éruptions eruzioni
primera primera
tchaïkovski čajkovskij
vendémiaire vendemmiaio
industrial industrial
fléau flagello
virtual virtual
dual dual
malayo maleo
participèrent parteciparono
botaniques botanici
bovin bovino
visitation visitazione
ajouta aggiunse
ravin burrone
raisonné ragionato
raiders raiders
avengers avengers
crédible credibile
argentins argentini
cieux cieli
poussin pulcino
padres padres
rendements rendimenti
tourna voltò
crèche presepe
reza reza
olympiakos olympiakos
brasil brasil
amazonas amazonas
tauziat tauziat
pigeonnier colombaia
einer einer
accueillit accolse
amazonie amazzonia
généralisé generalizzato
soigné curato
vénération venerazione
chenilles cingoli
graveurs masterizzatori
ivoirienne ivoriana
window window
efface cancella
routledge routledge
reserve reserve
mundo mundo
contacte contatta
perpétuelle perpetua
racontent raccontano
mata mata
catcheurs wrestler
terminera concluderà
rei rei
protectrice protettrice
protectrice protettiva
pillages saccheggi
engageant coinvolgente
factor factor
châteaubriant châteaubriant
prenez prendete
destiny destiny
commémorer commemorare
sanctionné sanzionato
kabyle kabyle
sarlat sarlat
ronds tondi
monti monti
inn inn
gardienne custode
viandes carni
internement internamento
assurait assicurava
affi affi
savoyard savoiardo
manchot monco
attaqua attaccò
constatant constatando
trouvèrent trovarono
albatros albatros
argot slang
commandait ordinava
gagnées vinte
cachées nascoste
astros astros
passionne appassiona
muros muros
échoua fallì
informaticien informatico
filature filatura
gag gag
artur artur
prairial pratile
obligée obbligata
donnell donnell
bayrou bayrou
volailles pollame
gardera manterrà
dépourvue sprovvista
lyriques lirici
appuyée appoggiata
malheurs disgrazie
acheteur compratore
calcule calcola
marionnette burattino
lus colti
lead lead
dunod dunod
éclatent scoppiano
centriste centrista
snooker snooker
lisses lisci
letter letter
monnier monnier
dore dore
mocky mocky
endommagés danneggiati
mina mina
voulue voluta
alexeï aleksej
diffusions diffusioni
perturber perturbare
continuèrent continuarono
fund fund
cortes cortes
blasonnement blasonatura
adagio adagio
espérait sperava
liévin liévin
vraisemblable verosimile
perturbation perturbazione
lue colta
tardives tardive
surnoms soprannomi
dada dada
prive prive
biplace biposto
corrige corregge
charlot charlot
ravage devasta
clémentine clementine
exactitude accuratezza
exactitude correttezza
urine urina
annulés annullati
alternatifs alternativi
coûteuse costosa
causse causse
assura assicurò
empattement interasse
barman barista
moderniser modernizzare
moderniser modernizzazione
bernois bernese
aidés aiutati
carillon carillon
méxico méxico
bretonnes bretoni
audace audacia
détruisit distrusse
supervise supervisiona
talus talus
antônio antônio
cabriolet cabriolet
ivanovitch ivanovič
medellín medellín
arbuste arbusto
pld pld
during during
move move
énergique energico
actors actors
monta salì
explorations esplorazioni
abstraite astratta
ostrołęka ostrołęka
cotée quotata
legion legion
mato mato
lemme lemma
elia elia
épicerie drogheria
restaure ripristina
boisé boscoso
luberon luberon
argentan argentan
énigmes enigmi
penguin penguin
tessier tessier
passèrent passarono
désagréable sgradevole
changera cambierà
macédonienne macedone
donnerait darebbe
brigands briganti
bienvenu benvenuto
braque bracco
pilar pilar
haïtienne haitiana
tinkoff tinkoff
passionnée appassionata
amnesty amnesty
rendirent resero
pointu tagliente
