del do
propios próprios
ámbito escopo
ámbito âmbito
refiere refere
entró entrou
periódico jornal
trayectoria trajeto
trayectoria trajectória
unió juntou
municipales municipais
llegando chegando
puso botou
iba ia
une une
joseph joseph
estableció estabeleceu
comienzo começo
dirigió dirigiu
science science
hotel hotel
tampoco tampouco
investigaciones investigações
file file
comerciales comerciais
podemos podemos
suelen costumam
salió saiu
posteriores posteriores
pierre pierre
permitió permitiu
debía devia
pese pese
roja vermelha
discográfica gravadora
bellas belas
comenzaron começaram
image image
asuntos assuntos
disputó disputou
estoy estou
allá lá
óscar óscar
naval naval
universitario universitário
escenario palco
habita habita
desarrolló desenvolveu
cuestión questão
comunes comuns
públicos públicos
cabecera cabeçalho
recién recém
amplia ampla
aquella aquela
encontró encontrou
siguiendo seguindo
construyó construiu
utilizan utilizam
recorrido percurso
resulta resulta
propias próprias
juvenil juvenil
coleóptero coleóptero
asteroides asteróides
representantes representantes
grand grand
sureste sudeste
fauna fauna
termina acaba
pocas poucas
interpretó interpretou
mucha muita
cádiz cádis
celebra comemora
dirigente dirigente
mismas mesmas
religiosos religiosos
privada privada
permaneció permaneceu
cápita capita
noreste nordeste
ermita ermida
america america
pone coloca
ocupó ocupou
bolívar bolívar
religiosa religiosa
soy sou
amplio amplo
firmó assinou
llamó chamou
north north
dieron deram
sexual sexual
éxitos sucessos
éxitos êxitos
artística artística
griega grega
conoció conheceu
ciertos certos
llegado chegado
suroeste sudoeste
sucedió aconteceu
rusa russa
limita restringe
limita limita
crítico crítico
sirvió serviu
pilotos pilotos
contó contou
constituye constitui
dobles duplas
tengo tenho
cuyos cujos
críticos críticos
ordenó ordenou
ocurre acontece
ciertas certas
association association
semifinales semifinais
estreno estreia
cristóbal cristóvão
dedicó dedicou
veo vejo
cumplir cumprir
fondos fundos
llevan levam
mala má
online online
night night
envió enviou
abandonó abandonou
retiró aposentou
actuaciones actuações
introduction introduction
astronómicos astronómicos
participaron participaram
valenciana valenciana
marine fuzileiro
bilbao bilbau
universitaria universitária
yucatán yucatán
apellido sobrenome
comunas comunas
entra entra
particularmente particularmente
abrió abriu
montes montes
fruto fruto
lejos afastado
integrantes integrantes
day day
abarca abrange
literaria literária
tomo pego
dada dada
tenemos temos
agrícola agrícola
parecer parecer
coleópteros coleópteros
terremoto terremoto
terremoto terramoto
acabó acabou
lanza lança
marcó marcou
celebró realizou
entrenamiento treinamento
izquierdo esquerdo
llegan chegam
marie marie
abandonar abandonar
journal journal
héctor heitor
puedan puderem
encuentros encontros
utilizó utilizou
desempeñó desempenhou
publications publications
nombró nomeou
jornada jornada
extiende estende
quiero quero
island island
hubiera tivesse
llevaron levaram
alguno algum
armadas armadas
vivienda moradia
realizaron realizaram
religiosas religiosas
jacques jacques
guionista argumentista
mallorca maiorca
county county
gregorio gregorio
ganando ganhando
incluyó incluiu
cualquiera qualquer
telenovela telenovela
saludo saudação
recuerda lembra
pidió pediu
marino marinho
utilizados utilizados
actuó agiu
pide pede
pasaron passaram
sciences sciences
provocó causou
provocó provocou
vietnam vietnã
poca pouca
estando estando
quizás talvez
titulada intitulada
grabó gravou
magdalena madalena
serv serv
game game
dependiendo dependendo
vocalista vocalista
sport sport
aéreo aéreo
france france
esté esteja
negocio negócio
doña dona
actuar atuar
necesita precisa
quedan sobraram
quedan restam
logrando conseguindo
ocurrió aconteceu
puedes podes
estuvieron estiveram
pistas faixas
awards awards
aquellas aquelas
astronómica astronómica
frecuente frequente
obteniendo obtendo
recinto recinto
back back
quedaron ficaram
definitiva definitiva
pre pre
cuyas cujas
descubrió descobriu
buscando procurando
helfman helfman
facey facey
asumió assumiu
continua contínua
dueño dono
escritora escritora
puedo posso
checa checa
bordo bordo
decidieron decidiram
lograron conseguiram
sujeto sujeito
catalana catalã
necesaria necessária
françois françois
chrysomelidae chrysomelidae
destacó destacou
neptune neptune
empate empate
ido ido
uruguayo uruguaio
cup cup
debían deviam
michel michel
electrónico eletrônico
modernos modernos
sant sant
fueran fossem
pudiera pudesse
ingleses ingleses
previa prévia
renacimiento renascença
parroquial paroquial
mundiales mundiais
tendrá terá
adquirió adquiriu
surgió surgiu
east east
logrado conseguido
rose rose
encontraron encontraram
delgado magro
conscientious conscientious
absoluta absoluta
palmarés palmarés
compitió competiu
alberga abriga
afirmó afirmou
adam adam
anotó anotou
mide mede
sociedades sociedades
premier premier
palacios palácios
ranking ranking
quizá talvez
enfrentó enfrentou
procedentes provenientes
marcador placar
road road
médica médica
relatos relatos
estamos estamos
históricas históricas
plazas praças
doctorado doutoramento
cuestiones questões
infraestructura infraestrutura
constituyen constituem
frutos frutos
derrotar derrotar
what what
inauguró inaugurou
dichas ditas
gato gato
defunción óbito
disputar disputar
ayudó ajudou
interpreta interpreta
colaboró colaborou
héroes heróis
hijas filhas
europeas europeias
organizó organizou
news news
trabajado trabalhado
jefes chefes
acaba acaba
creció cresceu
ofreció ofereceu
brazos braços
empezaron começaram
arts arts
juniors juniors
pardo pardo
fundadas fundadas
fray frei
villas vivendas
cofradía confraria
henri henri
asistió assistiu
cima topo
goleador goleador
aceptó aceitou
considerados considerados
gusto gosto
formaron formaram
voy vou
incorporó incorporou
procedente proveniente
camiseta camiseta
consideró considerou
sudeste sudeste
medallista medalhista
ciento cento
tomaron tomaram
confirmó confirmou
señala aponta
vieron viram
traje fato
flag flag
cifra cifra
murieron morreram
desaparecido desapareceu
desaparecido sumido
sucede acontece
jamás jamais
académica acadêmica
conseguido conseguido
habitualmente habitualmente
line line
telenovelas novelas
retirarse retirar
sudamericano sulamericano
vendió vendeu
rumbo rumo
cruces cruzes
magazine magazine
privadas privadas
last last
bernard bernard
causó causou
estaría estaria
part part
armenia arménia
emitió emitiu
sports sports
pirineos pirinéus
acta acta
evidente evidente
actúa age
fundamentalmente fundamentalmente
integró integrou
tantos tantos
estatales estaduais
estatales estatais
channel channel
encargó encomendou
marc marc
page page
piragüismo canoagem
recibieron receberam
encontramos encontramos
homónimo homónimo
anne anne
mejoras melhoras
agrícolas agrícolas
pedir pedir
llevando levando
físicas físicas
judía judia
stadium stadium
jugaba jogava
épocas épocas
contrajo contraiu
concedió concedeu
extensa extensa
profunda profunda
licenciatura licenciatura
permanece permanece
usó usou
demostrado comprovado
aparecido aparecido
disputado disputado
jerónimo jerónimo
version version
cumple cumpre
describió descreveu
típica típica
family family
espectáculos espetáculos
relacionada relacionada
reunió reuniu
podido podido
sajonia saxónia
aux aux
metropolitano metropolitano
vueltas voltas
ferrocarriles ferrovias
establecieron estabeleceram
básicos básicos
georges georges
quedado ficado
polémica polêmica
homónima homónima
financiera financeira
compuso compôs
ocurrido ocorrido
book book
convirtieron converteram
convirtieron transformaram
vocales vogais
infantiles infantis
archive archive
volvieron voltaram
interpretando interpretando
empresarios empresários
instaló instalou
sebastian sebastião
perteneció pertenceu
point point
construyeron construíram
entiendo entendo
entiendo entendi
entiendo compreendo
crearon criaram
renunció renunciou
bóveda cofre
vamos vamos
representando representando
islam islã
británicas britânicas
studios studios
intendente intendente
oscura escura
humanas humanas
tarjetas cartões
olímpica olímpica
aparecieron apareceram
parámetros parâmetros
mapas mapas
somos somos
malvinas falkland
cerrada fechada
habrá haverá
ganaron ganharam
célebre célebre
sacar tirar
sexuales sexuais
estrecha estreita
encargada encarregada
chinos chineses
característico característico
repertorio repertório
viviendo vivendo
llena cheia
dejaron deixaram
corre corre
ochenta oitenta
manteniendo mantendo
geográficos geográficos
hechas feitas
patricio patrício
brothers brothers
hormigón betão
autoría autoria
jugaron jogaram
nocturno noturno
compostela compostela
compleja complexa
concejal vereador
tumbas sepulturas
franquista franquista
terminaron acabaram
terminaron terminaram
ambientadas ambientadas
trastornos afecções
navales navais
latinoamericana latinoamericana
tuviera tivesse
pusieron puseram
pusieron colocaram
salieron saíram
procesamiento processamento
gubernamental governamental
entraron entraram
pág pág
institut institut
service service
secundarias secundárias
eres és
interino interino
profundas profundas
costarricense costarriquenha
dieciséis dezasseis
subespecies subespécies
supo soube
medievales medievais
sedes sedes
mitre mitre
conference conference
habsburgo habsburgo
terminando acabando
camilo camilo
subespecie subespécie
pido peço
utilizaron utilizaram
utc+ utc+
adjunto penhora
editora editora
noventa noventa
conveniente conveniente
honoris honoris
revolucionaria revolucionária
policías policiais
policías polícias
eclesiástica eclesiástica
pensaba pensava
llevaban levavam
qui qui
acompañó acompanhou
destinados destinados
pagina pagina
cerró fechou
temple temple
public public
aníbal aníbal
adicionalmente adicionalmente
industry industry
llanos planícies
resultaron resultaram
wikipedistas wikipedistas
legislativa legislativa
trayecto trajeto
respectivas respetivas
respectivas respectivas
diseñó projetou
dedicadas dedicadas
quisiera gostaria
buscan buscam
buscan procuram
fila fila
match match
fiables fiáveis
latinoamericano latinoamericano
our our
topónimo topónimo
extraña estranha
liderado liderado
computación computação
dispuso dispôs
osorio osorio
submarinos submarino
submarinos submarinos
expresó expressou
defendió defendeu
correos correios
cano cano
romántica romântica
fan fã
rondas rondas
rondas rodadas
retirar retirar
militantes militantes
oculta esconde
madrugada madrugada
circunscripción circunscrição
posesiones posses
business business
debemos devemos
transformó transformou
machine machine
facto facto
novena nona
prix prix
biológica biológica
fluvial fluvial
tardío tardio
secret secret
desemboca desagua
empatados empatados
disfrutar curtir
mixtas mistas
suite suíte
sujetos sujeitos
revolucionarios revolucionários
mejía mejía
danzas danças
islámico islâmico
aseguró garantiu
considero considero
action action
germánico germânico
emplear empregar
tantas tantas
llegaría chegaria
atentados atentados
pensando pensando
automovilismo automobilismo
permitieron permitiram
alcanzaron alcançaram
alcanzaron atingiram
act act
but but
pájaros pássaros
saliendo namorando
llegaba chegava
turno turno
infraestructuras infraestrutura
húmedos húmidos
race race
corporal corporal
preciso preciso
valió valeu
aquello aquilo
prepara prepara
model model
designó designou
irrelevante irrelevante
sustituyó substituiu
inclusive inclusive
cantautor cantautor
conmigo comigo
delantera dianteira
atender atender
máximos máximos
destruyó destruiu
committee committee
redujo reduziu
syst syst
development development
intentaron tentaram
catherine catherine
encabezado cabeçalho
ficticios fictícios
necesitaba precisava
second second
secuestro seqüestro
escaso escasso
católicas católicas
station station
arreglo reparo
eléctricas elétricas
pienso penso
párroco pároco
cristianas cristãs
champions champions
rescatar resgatar
santísimo santíssimo
mobile mobile
cumplió cumpriu
car car
mars mars
dividió dividiu
paralela paralela
embarcaciones embarcações
empire empire
sentía sentia
solicito peço
caído caído
milan milan
disparar atirar
volviendo voltando
surgido surgido
cierra encerra
cedió cedeu
reunieron reuniram
plenamente plenamente
presta presta
andorra andorra
obrera operária
manifiesta manifesta
enseñó ensinou
jugada jogada
congresos congressos
inspiró inspirou
mixta mista
nature nature
extraídos extraídos
custodia custódia
lógico lógico
internacionalmente internacionalmente
porteño portenho
impidió impediu
siento sinto
sáenz sáenz
precisa precisa
gobernó governou
tel tel
incluyeron incluíram
firmaron assinaram
barroca barroca
clasifica classifica
amplió expandiu
convocó convocou
sufrieron sofreram
water water
contrató contratou
index index
coleoptera coleoptera
supongo acho
supongo suponho
libremente livremente
parecida parecida
empezando começando
rodean rodeiam
ordo ordo
nacieron nasceram
térmica térmica
patronales patronais
gardens gardens
want want
nulo nulo
extendida estendida
productions productions
impulsó impulsionou
comedias comédias
comandos comandos
originó originou
arquero arqueiro
estuviera estivesse
sonoras sonoras
pasada passada
atacaron atacaram
asesinar assassinar
llamaron chamaram
separó separou
extinto extinto
corregimiento corregimento
índico índico
palos paus
determinó determinou
mediterránea mediterrânica
buscó procurou
reparación reparo
relaciona relaciona
contienda contenda
terremotos terramotos
extraordinaria extraordinária
canon canon
cronista cronista
tasas taxas
peculiar peculiar
salido saído
compitieron competiram
petit petit
mover movendo
renombrado renomado
potable potável
tomadas tiradas
surgen surgem
despierta acorda
tensiones tensões
compartió compartilhou
cie cie
sindical sindical
château château
futuras futuras
burdeos bordéus
ibérico ibérico
lazos laços
ateneo ateneu
cubrió cobriu
venido vindo
joyas jóias
grabaron gravaram
ocuparon ocuparam
colaborado colaborou
polacos polacos
reemplazó substituiu
huyó fugiu
posada pousada
pere pere
nord nord
navy navy
abandonaron abandonaram
claros claros
louise louise
revolution revolution
mostraron mostraram
village village
animalia animalia
sentidos sentidos
obtienen obtêm
magno magno
acorde acorde
sabemos sabemos
ultramar ultramarinos
intendencia intendência
sostienen sustentam
dispara dispara
azar aleatória
dividen dividem
enciclopédica enciclopédica
opuso opôs
mamá mamãe
bailes danças
bentónicos bentónicos
derrotando derrotando
parientes parentes
llanuras planícies
tanta tanta
culminó culminou
ocurrir acontecer
future future
enfrentan enfrentam
eliminada eliminada
titulares manchetes
derrotaron derrotaram
points points
lideró liderou
lenta lenta
dieciocho dezoito
pont pont
optó optou
tomos tomos
discursos discursos
disponen dispõem
bailarines bailarinos
theory theory
manifestó manifestou
desnudo nu
guiones roteiros
minero mineiro
telefonía telefonia
main main
destinadas destinadas
mirador miradouro
lírica lírica
controla controla
contrarreloj contrarrelógio
management management
ubican localizam
calificó qualificou
clarín clarim
cambiaron mudaram
ancianos idosos
amplias amplas
hispana hispânica
disputados disputados
célebres célebres
notre notre
ferdinand ferdinand
vínculos ligações
actas actas
apartamento apartamento
vivieron viveram
pelos cabelos
hago faço
celebraron celebraram
quedaban ficavam
quedaban restavam
agregó adicionou
permanecieron permaneceram
poly poly
faltas faltas
dadas dadas
mrs mrs
adiós adeus
afectó afectou
afectó afetou
emperadores imperadores
característicos característicos
double double
definió definiu
vacante vaga
res res
oscuras escuras
suponía supunha
caroline caroline
acusó acusou
usaron usaram
pasados passados
profile profile
antártica antártica
solían costumavam
marqueses marqueses
subió subiu
anciano idoso
anciano ancião
robar roubar
desempeñaba desempenhava
angelo ângelo
tribuna tribuna
bulletin bulletin
mont mont
hispánica hispânica
accesos acessos
segundas segundas
mandos comandos
complejas complexas
apostólico apostólico
rapidez rapidez
deseaba desejava
detuvo parou
funcionó funcionou
coast coast
convirtiendo convertendo
hice fiz
nieta neta
efectuar efetuar
sólida sólida
kingdom kingdom
chordata chordata
retiraron retiraram
hagan façam
romería romaria
celda cela
consagró consagrou
type type
finalizando finalizando
mencionó mencionou
tradujo traduziu
entrado entrado
comunal comunal
jaume jaume
sacó tirou
amplios amplos
cazas caças
descubrieron descobriram
sustituyendo substituindo
vemos vemos
carlista carlista
botánicas botânicas
tenistas tenistas
arqueológicas arqueológicas
hubieran tivessem
accedió concordou
chasis chassi
modificada modificada
sostuvo segurou
latinoamericanos latinoamericanos
culture culture
imperiales imperiais
estudiando estudando
promovió promoveu
disturbios distúrbios
huellas pegadas
monotípico monotípico
emigró emigrou
sorteo sorteio
avanzó avançou
iniciando iniciando
salvación salvação
interesa interessa
avanza avança
hipólito hipólito
presidió presidiu
roto quebrado
economic economic
indicó indicou
comic comic
ville ville
corriendo correndo
capacitación treinamento
adelantado adiantado
adulta adulta
antiaéreo antiaéreo
americanas americanas
pelear brigar
existiendo existindo
galo gaulês
rojizo avermelhado
brigadier brigadeiro
islands islands
stade stade
aviv aviv
tomé peguei
position position
vigencia vigência
nupcias núpcias
too too
titularidad titularidade
propósitos propósitos
prohibió proibiu
obregón obregón
caracterizó caracterizou
heredó herdou
carlota carlota
ocurren ocorrem
pintó pintou
aprovechó aproveitou
revertir reverter
goleada goleada
diecisiete dezassete
diecisiete dezessete
distrital distrital
invitó convidou
route route
señalan apontam
pozos poços
salones salões
astillero estaleiro
eliminó eliminou
clínico clínico
atlántica atlântica
practica pratica
iones íons
escritoras escritoras
olivier olivier
tamaulipas tamaulipas
info info
filarmónica filarmónica
fénix fênix
protagonismo protagonismo
ministra ministra
alojamiento alojamento
justamente justamente
semanario semanário
six six
infanta infanta
eleva eleva
murales murais
guardian guardian
areas áreas
asocia associa
étienne étienne
bastantes bastantes
quedaría ficaria
disolvió dissolveu
tolima tolima
planeado planejado
apunta aponta
donó doou
basó baseou
promueve promove
pas pas
valioso valioso
nodo nó
destruye destrói
clasifican classificam
dices dizes
notes notes
sostenido sustentado
academias colégios
desert desert
anotando anotando
dejo deixo
llegaban chegavam
sostener sustentar
cumplen cumprem
diputada deputada
trabajaron trabalharam
arrecifes recifes
instalaron instalaram
regresaron voltaram
regresaron regressaram
blanc blanc
justice justice
rápidas rápidas
fabián fabián
prevista prevista
cómica cómica
acabaron acabaram
tdb tdb
observó observou
bon bon
biológicas biológicas
advertencia advertência
frailes frades
française française
performance performance
dijeron disseram
agrupa agrupa
topónimos topónimos
egipcia egípcia
filmación filmagem
debutar estrear
consistió consistiu
location location
abusos abusos
sirvieron serviram
papá papai
celulares telemóveis
crecido crescido
génesis gênesis
subgénero subgénero
madrileño madrileno
influyó influenciou
proveer providenciar
convenció convenceu
comunitario comunitário
sometidos submetidos
luminosidad luminosidade
ladera encosta
orbitales orbitais
tacna tacna
comunitaria comunitária
société société
fundamento fundamento
olivia olívia
mai mai
irlandeses irlandeses
gratuito gratuito
inmensa imensa
entendido entendi
suman somam
criticó criticou
against against
códice códex
experimentó experimentou
vinculada vinculada
salvó salvou
sous sous
acad akkad
chinese chinese
seriamente seriamente
department department
trade trade
mexicanas mexicanas
erróneamente erroneamente
court court
fotográfica fotográfica
reemplazados substituídos
afa afa
anotados anotados
third third
afiliados filiados
taxonomic taxonomic
vas vas
emprendió empreendeu
manager manager
sigo sigo
combatió combateu
aprovechamiento aproveitamento
julien julien
vasc vasc
mode mode
destacaron destacaram
permanentemente permanentemente
musica musica
recurrir recorrer
reseñas resenhas
enviaron enviaram
graduación formatura
contigo contigo
citados citados
ficticia fictícia
auguste auguste
conocemos conhecemos
recuerdan lembram
existido existido
abrieron abriram
cuidar cuidar
paterna paterna
encabezó liderou
justa justa
efectuó efectuou
ordinario ordinário
gordo gordo
caledonia caledónia
auténtica autêntica
tenista tenista
impulsado impulsionado
tercios terços
girón girón
unit unit
ricas ricas
salle salle
article article
front front
eliminando removendo
conforma conforma
proporcionó forneceu
zone zone
code code
babilonia babilônia
murciélago morcego
monetaria monetário
cofradías confrarias
novato novato
bye bye
belle belle
humorista humorista
huecos ocos
origina origina
inician iniciam
dióxido dióxido
extienden estendem
oca ganso
dra dra
dra doutora
cuñado cunhado
tarifa tarifa
falsos falsos
anunciaron anunciaram
josefina josefina
condecoraciones condecorações
posadas pousadas
subterránea subterrânea
llevará levará
dirigiendo dirigindo
unía unia
entendimiento entendimento
foot foot
empleó empregou
argumentando argumentando
nacionalizados nacionalizados
galán galã
evidentemente evidentemente
eastern eastern
fuegos fogos
providencia providência
consagrado consagrado
antártico antárctico
atrapado pego
consideraron consideraram
cuadrangular quadrangular
roses roses
felices felizes
also also
planea planeja
queremos queremos
holandeses holandeses
liderados liderados
provocaron provocaram
energética energética
expuso expôs
vie vie
actuado agido
lecho leito
insurrección insurreição
concebido concebido
motivó motivou
palace palace
mon mon
amalia amalia
extensas extensas
serbios sérvios
trataron tentaram
trataron trataram
doctora doutora
abuelos avós
asignó atribuiu
beato beato
critica critica
transmitió transmitiu
interesó interessou
proyectiles projécteis
biográfica biográfica
baltasar baltazar
mer mer
discográficas gravadoras
nudo nó
naciente nascente
eclesiásticos eclesiásticos
colocan colocam
arquitectónica arquitectónica
carlistas carlistas
zimbabue zimbabué
podríamos poderíamos
excesiva excessiva
arreglar arranjar
procedió procedeu
licenció licenciou
resolvió resolveu
bula bula
nom nom
cuantas quantas
constituir constituir
gremio grêmio
rsssf rsssf
sacado tirado
alliance alliance
dinámico dinâmico
filosófica filosófica
mi² mi²
astrónomos astrônomos
extintos extintos
acústico acústico
autonómica autonómica
repente repente
falcón falcón
ajuste ajuste
versalles versalhes
building building
universitarias universitárias
tomados tomados
creativa criativa
lieja liège
escrituras escrituras
contraria contrária
cornelio cornélio
propietaria proprietária
wikipedias wikipedias
debes deves
sao sao
conocieron conheceram
parrilla churrasqueira
buenaventura boaventura
leyendo lendo
salvado salvado
train train
rastro rasto
rindió rendeu
dueña dona
organizaron organizaram
aplicó aplicou
erigió ergueu
monetario monetário
rato rolê
creyó acreditou
inédito inédito
juristas juristas
elabora elabora
planas planas
necesito preciso
cuarteles quartéis
preparó preparou
fuesen fossem
filosófico filosófico
doméstica doméstica
modernismo modernismo
sumado somado
ambientada ambientada
adecuadamente adequadamente
rue rue
metálicos metálicos
habitaban habitavam
antecedente antecedente
verdaderamente verdadeiramente
húngaros húngaros
divididas divididas
jurídicos jurídicos
tuvieran tivessem
comendador comendador
calado calado
cerradas encerradas
cerradas fechadas
coronó coroou
repitió repetiu
poesías poesias
marchas marchas
denunció denunciou
incorporadas incorporadas
recorrió percorreu
violentos violentos
peligrosos perigosos
modificó modificou
deux deux
prominentes proeminentes
magnífico magnífico
sahara saara
palazzo palazzo
coincidió coincidiu
captain captain
acababa acabava
funcionando funcionando
lírico lírico
mundialmente mundialmente
tiburones tubarões
corrales currais
revisado revisado
residió residiu
fraile frade
nations nations
abriendo abrindo
osorno osorno
devolver devolver
communes communes
eduard eduard
atacando atacando
resaltar realçar
fluviales fluviais
robos roubos
decretó decretou
clado clado
ayudaron ajudaram
guillaume guillaume
adecuadas adequadas
mission mission
conservó guardou
osos ursos
fijó ajustou
húmedas húmidas
hongo fungo
pareció pareceu
wikipedista wikipedista
mato mato
disparó disparou
porteños portenhos
magnética magnética
antemano antecipadamente
serios sérios
ofrecieron ofereceram
colectivas coletivas
colectivas colectivas
monde monde
generation generation
estarían estariam
refería referia
suprimido suprimido
pilastras pilastras
condenó condenou
libra libra
pidieron pediram
afines afins
parecidos parecidos
chef chef
atmosférica atmosférica
autorizó autorizou
rómulo rômulo
continuaba continuava
biblio biblio
defendido defendido
estrelló despenhou
humedales pântanos
grabando gravando
date date
teólogos teólogos
derrotada derrotada
situó situou
escribieron escreveram
declararon declararam
olympique olympique
publicando postando
introdujeron introduziram
óptico óptico
adquiriendo adquirindo
acabando acabando
cédula cédula
nation nation
viajan viajam
retroceso retrocesso
seine seine
extraído extraído
exigió exigiu
propongo proponho
revolucionarias revolucionárias
praderas pradarias
mecánicas mecânicas
corps corps
celos ciumes
fijar afixar
empates empates
compitiendo competindo
desnuda pelada
potentes potentes
source source
bureau bureau
acordes acordes
predominantemente predominantemente
añaden acrescentam
vendieron venderam
expulsar expulsar
nula nulo
consolidó consolidou
crías crias
regresando retornando
cómicas cómicas
voluntaria voluntária
imprescindible imprescindível
aminoácidos aminoácidos
secretarios secretários
embarcación embarcação
auxilio socorro
zoo zoo
doscientos duzentos
pages pages
paralímpicos paraolímpicos
sorprende surpreende
hacemos fazemos
pólvora pólvora
primogénito primogénito
eligieron escolheram
pabellones pavilhões
fusionó fundiu
flujos fluxos
manta cobertor
lucharon lutaram
prohíbe proíbe
analiza analisa
decorada decorada
corbeta corveta
police police
persigue persegue
llevo levo
penalti penalti
gules gules
pongo ponho
eulalia eulália
reposo repouso
desarrollos desenvolvimentos
tranquilas calmas
roche roche
negaron negaram
atendiendo atendendo
fusionado fundido
piura rondonia
huyeron fugiram
gritos gritos
embarcó embarcou
numerosa numerosa
superan superam
representativa representativa
tiras tiras
mero mero
suceder acontecer
guerrillero guerrilheiro
garona garona
côte côte
canónico canónico
rouge rouge
dictó proferiu
pudiese pudesse
capiteles capitéis
montañosas montanhosas
avanzadas avançadas
sacrificios sacrifícios
renombrada renomada
sobrevivieron sobreviveram
registraron registaram
actualizada atualizada
costó custou
cintura cintura
causaron causaram
proposición proposição
formula formula
cruzó cruzou
cruzó atravessou
desempate desempate
vampire vampire
leonesa leonesa
portátil portátil
japanese japanese
sorprendió surpreendeu
dirigieron dirigiram
capturó capturou
contribuyeron contribuíram
none none
acuáticas aquáticas
elevaciones elevações
enemiga inimiga
exponentes expoentes
existieron existiram
remedio remédio
elevó elevou
piragüistas canoeiros
malvado malvado
pecados pecados
subsecretario subsecretário
conservation conservation
permanecido permanecido
sportiva sportiva
notoriedad notoriedade
partitura partitura
quirós quirós
jeanne jeanne
desprende depreende
psicológica psicológica
pistons pistons
densamente densamente
vacía vazia
revue revue
acordaron concordaram
surgir surgir
paradero paradeiro
permitan permitam
identificó identificou
amorosa amorosa
residenciales residenciais
sucedieron aconteceram
brotes surtos
nietos netos
alternativos alternativos
granjas quintas
conservando conservando
urbe urbe
géographique géographique
upon upon
doy dou
cupo coube
ocurridos ocorridos
mediciones medições
cronistas cronistas
vencieron venceram
exponente expoente
avec avec
volcánico vulcânico
adornos enfeites
inédita inédita
extensos extensos
basaba baseava
pronunció pronunciou
meno meno
anfp anfp
disputan disputam
amour amour
pintora pintora
atlética atlética
handbook handbook
condecoración condecoração
clasificatorio classificatório
comunicó comunicou
falló falhou
universe universe
florence florence
velásquez velásquez
anda anda
dejaría deixaria
matado matado
émile émile
requerida requerida
elaboró elaborou
interpretados interpretados
luc luc
murciélagos morcegos
dispuesta disposta
apoyaron apoiaram
nationale nationale
abandonando abandonando
sabido sabido
latinas latinas
deidades divindades
escogió escolheu
estanislao estanislau
parten partem
fui fui
editados editados
gens gens
food food
marchar marchar
polémicas polémicas
invadió invadiu
remoto remoto
separaron separaram
carabineros carabineiros
estarán estarão
redactó redigiu
empató empatou
superficiales superficiais
medical medical
islotes ilhotas
mestizos mestiços
baron baron
aparezca apareça
literature literature
rights rights
madura madura
